ini,to.rem,m,s,p,m.s,s.s,p.s,val
1,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
2,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
3,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
4,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
5,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
6,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
7,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
8,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
9,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
10,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
11,3,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
12,0,-86.5,-51.9,-57.666666666666664,0.07765424062161101,-0.03162277660172919,3.6714112912564083,3.7806883084797485
13,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
14,1,-86.5,-51.9,-57.666666666666664,0.07765424062161101,-0.03162277660172919,3.6714112912564083,3.7806883084797485
15,3,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
16,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
17,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
18,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
19,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
20,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
21,2,-86.5,-51.9,-57.666666666666664,0.07765424062161101,-0.03162277660172919,3.6714112912564083,3.7806883084797485
22,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
23,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
24,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
25,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
26,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
27,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
28,2,-99.2,-51.9,-64.75,-12.864719196313551,-0.03162277660172919,-0.2721024480093339,13.168444420924615
29,3,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
30,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
31,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
32,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
33,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
34,4,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
35,3,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
