lab-number;code;plotnb;plotID;plotfull;species;month;N;C
1;31-A1-Pr-Sep;31;A1;31.A1;Pr;Sep;0,41;43,03
2;21-A4-Ac-Sep;21;A4;21.A4;Ac;Sep;0,81;43,03
3;36-AE4-Ac-Sep;36;AE4;36.AE4;Ac;Sep;0,57;44,63
4;22-E1-Ca-Sep;22;E1;22.E1;Ca;Sep;0,94;44,73
5;74-A4-Ac-Sep;74;A4;74.A4;Ac;Sep;0,68;45,02
6;21-A4-So-Sep;21;A4;21.A4;So;Sep;0,70;44,63
7;32-E4-Be-Sep;32;E4;32.E4;Be;Sep;0,66;48,40
8;60-AE4-Be-Sep;60;AE4;60.AE4;Be;Sep;1,15;47,21
9;43-E2-Ti-Sep;43;E2;43.E2;Ti;Sep;1,19;43,35
10;28-AE4-Fr-Sep;28;AE4;28.AE4;Fr;Sep;0,78;43,56
11;10-A4-Pr-Sep;10;A4;10.A4;Pr;Sep;0,74;43,69
12;54-A2-Ac-Sep;54;A2;54.A2;Ac;Sep;0,88;45,26
13;67-AE2-Fr-Sep;67;AE2;67.AE2;Fr;Sep;0,78;42,38
14;77-A1-Pr-Sep;77;A1;77.A1;Pr;Sep;0,56;44,37
15;10-A4-So-Sep;10;A4;10.A4;So;Sep;0,54;43,60
16;57-AE2-Qu-Sep;57;AE2;57.AE2;Qu;Sep;1,58;46,23
17;36-AE4-Ti-Sep;36;AE4;36.AE4;Ti;Sep;0,90;42,91
18;14-AE4-Be-Sep;14;AE4;14.AE4;Be;Sep;0,59;47,18
19;74-A4-Ae-Sep;74;A4;74.A4;Ae;Sep;0,64;45,04
20;20-E1-Ti-Sep;20;E1;20.E1;Ti;Sep;1,22;44,14
21;33-A1-Ae-Sep;33;A1;33.A1;Ae;Sep;1,19;45,99
22;44-A4-So-Sep;44;A4;44.A4;So;Sep;0,61;44,24
23;14-AE4-Pr-Sep;14;AE4;14.AE4;Pr;Sep;0,40;42,70
24;13-E2-Ca-Sep;13;E2;13.E2;Ca;Sep;0,95;44,42
25;78-AE2-Ac-Sep;78;AE2;78.AE2;Ac;Sep;0,81;45,34
26;74-A4-Pr-Sep;74;A4;74.A4;Pr;Sep;0,64;43,53
