"","sample","P"
"1","64-A2-Ae-Sep",1.17
"2","53-A4-Pr-Sep",5.52
"3","12-E4-Ti-Sep",3.3
"4","59-A4-Ae-Sep",1.08
"5","53-A4-Fr-Sep",3.95
"6","76-E1-Be-Sep",3.35
"7","71-E4-Be-Sep",2.58
"8","49-AE4-Be-Sep",3.07
"9","75-AE4-So-Sep",4.01
"10","52-A2-Ac-Sep",2.99
"11","32-E4-Ca-Sep",1.66
"12","66-A4-Fr-Sep",4.26
"13","49-AE4-So-Sep",6.04
"14","69-A2-Fr-Sep",2.67
"15","59-A4-Ac-Sep",2.78
"16","24-AE4-Fr-Sep",3.32
"17","5-E2-Be-Sep",2.6
"18","26-A4-So-Sep",4.73
"19","26-A4-Ac-Sep",2.98
"20","79-E4-Ti-Sep",2.61
"21","44-A4-Pr-Sep",4.83
"22","15-AE2-Fr-Sep",4.78
"23","3-A2-Fr-Sep",3.03
"24","68-A1-So-Sep",3.74
"25","39-A2-Fr-Sep",4.69
"26","10-A4-Ae-Sep",1.08
"27","16-AE4-Be-Sep",2.79
"28","50-A1-Ae-Sep",1.17
"29","18-AE2-Be-Sep",3.48
"30","15-AE2-Ca-Sep",1.76
"31","40-A4-Ae-Sep",1.9
"32","10-A4-Fr-Sep",2.93
"33","60-AE4-Fr-Sep",4.24
"34","9-A2-Pr-Sep",3.87
"35","58-E4-Qu-Sep",2.79
"36","32-E4-Be-Sep",2.48
"37","10-A4-Pr-Sep",4.33
"38","21-A4-So-Sep",4.63
"39","74-A4-Ac-Sep",2.96
"40","54-A2-So-Sep",4.13
"41","13-E2-Ca-Sep",1.21
"42","4-E1-Qu-Sep",1.57
"43","17-A1-So-Sep",2.33
"44","73-A2-Ae-Sep",1.07
"45","14-AE4-Pr-Sep",3.65
"46","74-A4-Pr-Sep",2.66
"47","44-A4-So-Sep",4.84
"48","65-AE2-Ca-Sep",1.14
"49","1-AE2-Pr-Sep",2.55
"50","25-A2-Pr-Sep",3.12
"51","33-A1-Ae-Sep",1.43
"52","78-AE2-Ac-Sep",2.55
"53","34-E4-Ti-Sep",2.55
"54","74-A4-Ae-Sep",1.24
"55","20-E1-Ti-Sep",2.12
"56","10-A4-So-Sep",3.68
"57","57-AE2-Qu-Sep",1.98
"58","14-AE4-Be-Sep",2.79
"59","77-A1-Pr-Sep",2.9
"60","60-AE4-Be-Sep",2.07
"61","21-A4-Ac-Sep",2.94
"62","31-A1-Pr-Sep",3.11
"63","67-AE2-Fr-Sep",1.46
"64","36-AE4-Ti-Sep",2.86
"65","22-E1-Ca-Sep",1.35
"66","36-AE4-Ac-Sep",2.27
"67","43-E2-Ti-Sep",3.24
"68","54-A2-Ac-Sep",3.01
"69","28-AE4-Fr-Sep",2.69
"70","72-E1-Ca-Feb",0.51
"71","48-E4-Ca-Feb",0.66
"72","5-E2-Qu-Feb",0.53
"73","2-E1-Fa-Feb",0.66
"74","80-E2-Qu-Feb",0.44
"75","7-E4-Ca-Feb",0.83
"76","75-AE4-Qu-Feb",0.41
"77","15-AE2-Ca-Feb",0.6
"78","12-E4-Ca-Feb",0.48
"79","24-AE4-Ca-Feb",0.66
"80","38-AE2-Qu-Mar",0.48
"81","32-E4-Ca-Mar",0.68
"82","57-AE2-Qu-Mar",0.86
"83","22-E1-Ca-Mar",0.75
"84","32-E4-Qu-Mar",0.66
"85","48-E4-Ca-Mar",0.94
"86","58-E4-Ca-Mar",0.86
"87","75-AE4-Qu-Mar",0.74
"88","24-AE4-Ca-Mar",0.41
"89","51-E2-Ca-Mar",0.58
"90","72-E1-Ca-Mar",0.67
"91","9-A2-Ac-July",1.12
"92","8-A1-Fr-July",1.79
"93","48-E4-Be-July",1.05
"94","45-E4-Ti-July",1.71
"95","42-AE4-Pr-July",2.28
"96","43-E2-Ti-July",1.83
"97","43-E2-Be-July",1.77
"98","78-AE2-Ac-July",1.52
"99","35-A2-Ac-July",1.38
"100","29-E2-Ti-July",2.54
"101","73-A2-Ae-July",0.44
"102","9-A2-Pr-July",5.01
"103","75-AE4-Ca-July",1.38
"104","26-A4-Ae-July",0.5
"105","65-AE2-Ca-July",0.84
"106","16-AE4-Ca-July",1.62
"107","33-A1-Ae-July",3.37
"108","11-E2-Qu-July",1.48
"109","59-A4-Ac-July",1.02
"110","74-A4-Ae-July",1.13
"111","15-AE2-Ca-July",0.97
"112","2-E1-Fa-July",1.28
"113","14-AE4-Pr-July",2.15
"114","10-A4-Fr-July",1.95
"115","24-AE4-Fr-July",1.59
"116","42-AE4-Fr-July",1.83
"117","60-AE4-Ti-July",1.89
"118","1-AE2-Pr-July",1.68
"119","48-E4-Ca-July",1.99
"120","39-A2-Ae-July",1.38
"121","44-A4-Pr-July",2.13
"122","40-A4-Ac-July",2.08
"123","44-A4-So-July",2.66
"124","67-AE2-Fr-July",2.03
"125","28-AE4-Ti-July",2.33
"126","7-E4-Ti-July",1.73
"127","34-E4-Qu-July",1.92
"128","55-AE4-Ca-July",1.51
"129","27-E1-Be-July",2.37
"130","69-A2-Pr-July",2.24
"131","51-E2-Qu-July",1.66
"132","57-AE2-Qu-July",1.89
"133","23-AE2-Fa-July",2.14
"134","25-A2-Pr-July",1.9
"135","21-A4-Pr-July",2.3
"136","52-A2-Ac-July",2.08
"137","28-AE4-Fr-July",2.17
"138","44-A4-Ae-July",1.94
"139","38-AE2-So-July",1.97
"140","70-E1-Ti-July",2.13
"141","49-AE4-So-July",3.85
"142","54-A2-Ac-July",2.17
"143","29-E2-Fa-July",1.99
"144","74-A4-Pr-July",2.07
"145","13-E2-Ca-July",1.78
"146","6-A4-So-July",2.89
"147","17-A1-So-July",1.94
"148","1-AE2-Ti-July",2.01
"149","60-AE2-Ac-July",2.37
"150","51-E2-Ca-May",2.42
"151","23-AE2-Fa-May",1.5
"152","31-A1-Pr-May",3.39
"153","27-E1-Be-May",2.8
"154","49-AE4-Be-May",2.95
"155","30-E4-Be-May",2.7
"156","5-E2-Be-May",3.06
"157","48-E4-Be-May",0.87
"158","37-E2-Be-May",0.75
"159","54-A2-Ac-May",1.17
"160","53-A4-Pr-May",1.09
"161","23-AE2-Ae-May",0.84
"162","53-A4-Ac-May",1.18
"163","50-A1-Ae-May",0.99
"164","74-A4-Pr-May",1
"165","33-A1-Ae-May",0.64
"166","57-AE2-Qu-May",0.53
"167","44-A4-Fr-Nov",1.06
"168","14-AE4-So-Nov",1.14
"169","28-AE4-Qu-Nov",0.64
"170","52-A2-Ac-Nov",0.57
"171","41-AE2-Pr-Nov",0.71
"172","5-E2-Be-Nov",0.73
"173","68-A1-So-Nov",0.71
"174","40-A4-Ac-Nov",0.4
"175","24-AE4-So-Nov",0.95
"176","22-E1-Ca-Nov",0.57
"177","71-E4-Be-Nov",0.71
"178","40-A4-Fr-Nov",1.14
"179","50-A1-Ae-Nov",0.57
"180","18-AE2-Ac-Nov",0.61
"181","75-AE2-Ac-Nov",0.84
"182","18-AE2-Be-Nov",0.73
"183","48-E4-Be-Nov",0.84
"184","59-A4-Ac-Nov",0.49
"185","66-A4-Fr-Nov",0.88
"186","15-AE2-Fr-Nov",1.08
"187","38-AE2-So-Nov",0.92
"188","2-E1-Fa-Nov",0.47
"189","21-A4-Pr-Nov",1.08
"190","64-A2-Ae-Nov",0.52
"191","60-AE4-Fr-Nov",0.96
"192","59-A4-Fr-Nov",1.01
"193","26-A4-So-Nov",0.96
"194","48-E4-Ti-Nov",0.95
"195","26-A4-Ac-Nov",0.57
"196","61-A1-Fr-Nov",5.89
"197","71-E4-Qu-Nov",2.26
"198","53-A4-Pr-Nov",4.7
"199","51-E2-Ca-Nov",1.77
"200","34-E4-Ti-Nov",3.37
"201","34-E4-Qu-Nov",2.29
"202","48-E4-Ca-Nov",2.55
"203","9-A2-Pr-Nov",4.12
"204","77-A1-Pr-Nov",3.41
"205","33-E4-Be-Nov",2.8
"206","57-AE2-Ae-Nov",1.87
"207","31-A1-Pr-Nov",3.65
"208","37-E2-Be-Nov",2.91
"209","73-A2-Ae-Nov",1.36
"210","1-AE2-Pr-Nov",2.64
"211","37-E2-Ca-Nov",1.96
"212","11-E2-Qu-Nov",2.34
"213","65-AE2-Ca-Nov",1.92
"214","45-E4-Qu-Nov",2.17
"215","74-A4-So-Nov",5.64
"216","66-A4-Pr-Nov",3.57
"217","3-A2-Fr-Nov",3.2
"218","5-E2-Qu-Nov",2
"219","30-E4-Ti-Nov",3.34
"220","12-E4-Ti-Nov",2.94
"221","48-E4-Fa-Nov",2.66
"222","1-AE2-Ti-Nov",3.55
"223","6-A4-So-Nov",5.63
