"block","plotID","plotName","tree_species_richness","mycorrhizal_type","composition","trapID","Ac","Ae","Be","Ca","Fa","Fr","Pr","Qu","So","Ti","cont","trap_condition","Ac_m2","Ae_m2","Be_m2","Ca_m2","Fa_m2","Fr_m2","Pr_m2","Qu_m2","So_m2","Ti_m2","cont_m2","month","div","blk","myc","sr","sr_myc","month1"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"2023-03","2","1","AM + EM",2,"2_AM + EM","March"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.426,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.757333333333333,"2023-03","2","1","AM + EM",2,"2_AM + EM","March"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"2023-03","2","1","AM + EM",2,"2_AM + EM","March"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.178,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.316444444444444,"2023-04","2","1","AM + EM",2,"2_AM + EM","April"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.757,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,1.34577777777778,"2023-04","2","1","AM + EM",2,"2_AM + EM","April"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.087,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.154666666666667,"2023-04","2","1","AM + EM",2,"2_AM + EM","April"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,0.356,NA,NA,0.066,0.057,"ok",NA,NA,NA,NA,NA,NA,0.632888888888889,NA,NA,0.117333333333333,0.101333333333333,"2023-05","2","1","AM + EM",2,"2_AM + EM","May"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,0.026,NA,NA,0,0,"ok",NA,NA,NA,NA,NA,NA,0.0462222222222222,NA,NA,0,0,"2023-05","2","1","AM + EM",2,"2_AM + EM","May"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,0.012,NA,NA,0,0,"ok",NA,NA,NA,NA,NA,NA,0.0213333333333333,NA,NA,0,0,"2023-05","2","1","AM + EM",2,"2_AM + EM","May"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,1.616,NA,NA,0,0.056,"ok",NA,NA,NA,NA,NA,NA,2.87288888888889,NA,NA,0,0.0995555555555556,"2023-06","2","1","AM + EM",2,"2_AM + EM","June"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,1.293,NA,NA,0.205,0,"ok",NA,NA,NA,NA,NA,NA,2.29866666666667,NA,NA,0.364444444444444,0,"2023-06","2","1","AM + EM",2,"2_AM + EM","June"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,1.15,NA,NA,0,0.173,"ok",NA,NA,NA,NA,NA,NA,2.04444444444444,NA,NA,0,0.307555555555556,"2023-06","2","1","AM + EM",2,"2_AM + EM","June"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,4.17,NA,NA,2.63,NA,"ok",NA,NA,NA,NA,NA,NA,7.41333333333333,NA,NA,4.67555555555556,NA,"2023-07","2","1","AM + EM",2,"2_AM + EM","July"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,4.6,NA,NA,0.883,NA,"ok",NA,NA,NA,NA,NA,NA,8.17777777777778,NA,NA,1.56977777777778,NA,"2023-07","2","1","AM + EM",2,"2_AM + EM","July"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,5.96,NA,NA,0.653,1.076,"ok",NA,NA,NA,NA,NA,NA,10.5955555555556,NA,NA,1.16088888888889,1.91288888888889,"2023-07","2","1","AM + EM",2,"2_AM + EM","July"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,5.662,NA,NA,3.098,0.297,"ok",NA,NA,NA,NA,NA,NA,10.0657777777778,NA,NA,5.50755555555556,0.528,"2023-08","2","1","AM + EM",2,"2_AM + EM","August"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,5.342,NA,NA,2.012,0.48,"ok",NA,NA,NA,NA,NA,NA,9.49688888888889,NA,NA,3.57688888888889,0.853333333333333,"2023-08","2","1","AM + EM",2,"2_AM + EM","August"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,4.287,NA,NA,1.743,0.186,"ok",NA,NA,NA,NA,NA,NA,7.62133333333333,NA,NA,3.09866666666667,0.330666666666667,"2023-08","2","1","AM + EM",2,"2_AM + EM","August"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,11.05,NA,NA,2.89,0.39,"ok",NA,NA,NA,NA,NA,NA,19.6444444444444,NA,NA,5.13777777777778,0.693333333333333,"2023-09","2","1","AM + EM",2,"2_AM + EM","September"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,9.52,NA,NA,4.75,0.06,"ok",NA,NA,NA,NA,NA,NA,16.9244444444444,NA,NA,8.44444444444444,0.106666666666667,"2023-09","2","1","AM + EM",2,"2_AM + EM","September"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,7.95,NA,NA,4.92,0.59,"ok",NA,NA,NA,NA,NA,NA,14.1333333333333,NA,NA,8.74666666666667,1.04888888888889,"2023-09","2","1","AM + EM",2,"2_AM + EM","September"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,38.16,NA,NA,29.89,0.18,"ok",NA,NA,NA,NA,NA,NA,67.84,NA,NA,53.1377777777778,0.32,"2023-10","2","1","AM + EM",2,"2_AM + EM","October"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,41.28,NA,NA,27.31,0.22,"ok",NA,NA,NA,NA,NA,NA,73.3866666666667,NA,NA,48.5511111111111,0.391111111111111,"2023-10","2","1","AM + EM",2,"2_AM + EM","October"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,27.68,NA,NA,8.75,0.06,"ok",NA,NA,NA,NA,NA,NA,49.2088888888889,NA,NA,15.5555555555556,0.106666666666667,"2023-10","2","1","AM + EM",2,"2_AM + EM","October"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,27.78,NA,NA,13.26,1.78,"ok",NA,NA,NA,NA,NA,NA,49.3866666666667,NA,NA,23.5733333333333,3.16444444444444,"2023-11","2","1","AM + EM",2,"2_AM + EM","November"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,15.97,NA,NA,4.08,2.09,"ok",NA,NA,NA,NA,NA,NA,28.3911111111111,NA,NA,7.25333333333333,3.71555555555556,"2023-11","2","1","AM + EM",2,"2_AM + EM","November"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,26.04,NA,NA,7.6,0.19,"ok",NA,NA,NA,NA,NA,NA,46.2933333333333,NA,NA,13.5111111111111,0.337777777777778,"2023-11","2","1","AM + EM",2,"2_AM + EM","November"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"no_stone",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"2023-12","2","1","AM + EM",2,"2_AM + EM","December"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,0.543,NA,NA,0,0,"ok",NA,NA,NA,NA,NA,NA,0.965333333333333,NA,NA,0,0,"2023-12","2","1","AM + EM",2,"2_AM + EM","December"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"broken",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"2023-12","2","1","AM + EM",2,"2_AM + EM","December"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"2024-01","2","1","AM + EM",2,"2_AM + EM","January"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,0,NA,NA,0.431,0,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0.766222222222222,0,"2024-01","2","1","AM + EM",2,"2_AM + EM","January"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"2024-01","2","1","AM + EM",2,"2_AM + EM","January"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,"2024-02","2","1","AM + EM",2,"2_AM + EM","February"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,"2024-02","2","1","AM + EM",2,"2_AM + EM","February"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,"ok",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,"2024-02","2","1","AM + EM",2,"2_AM + EM","February"
1,2,"2.E1",1,"EMF","Fa","A",NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,0,"ok",NA,NA,NA,NA,3.11111111111111,NA,NA,NA,NA,NA,0,"2023-03","1","1","EM",1,"1_EM","March"
1,2,"2.E1",1,"EMF","Fa","B",NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,0.14,"ok",NA,NA,NA,NA,4.26666666666667,NA,NA,NA,NA,NA,0.248888888888889,"2023-03","1","1","EM",1,"1_EM","March"
1,2,"2.E1",1,"EMF","Fa","C",NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,0.28,"ok",NA,NA,NA,NA,2.13333333333333,NA,NA,NA,NA,NA,0.497777777777778,"2023-03","1","1","EM",1,"1_EM","March"
1,2,"2.E1",1,"EMF","Fa","A",NA,NA,NA,NA,22.45,NA,NA,NA,NA,NA,0,"ok",NA,NA,NA,NA,39.9111111111111,NA,NA,NA,NA,NA,0,"2023-04","1","1","EM",1,"1_EM","April"
