"block","plotID","plotName","tree_species_richness","mycorrhizal_type","composition","trapID","contaminants","trap_condition","month","div","blk","myc","sr","sr_myc","month1","species","dryweight","dryweight_corr"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Prunus.avium",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Tilia.platyphyllos",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.426,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.426,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.426,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.426,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.426,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.426,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.426,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Prunus.avium",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.426,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.426,"ok","2023-03",2,1,"AM + EM",2,"2_AM + EM","March","Sorbus.aucuparia",NA,NA
